Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn,Upsell_Probability,Upsell_Prediction,Confidence_Level,Recommended_Product,Expected_Monthly_Revenue,Priority,Customer_Segment
355-2909,75,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,0.3567271243759826,1,Low,Standard Upgrade Package,19.81,LOW,Regular Prospects (Standard Campaign)
390-6101,78,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False,0.3598397035490051,1,Low,Standard Upgrade Package,26.76,LOW,Regular Prospects (Standard Campaign)
400-3446,82,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False,0.6066652518970049,1,High,Premium Support + Service Upgrade,45.99,HIGH,Problem Solvers (Fix Issues First)
411-5859,163,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False,0.35870850432331336,1,Low,Standard Upgrade Package,22.73,LOW,Regular Prospects (Standard Campaign)
387-2919,91,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False,0.6051669367289582,1,High,Premium Support + Service Upgrade,37.38,HIGH,Problem Solvers (Fix Issues First)
374-8525,75,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False,0.6063971513844297,1,High,Premium Support + Service Upgrade,44.59,HIGH,Problem Solvers (Fix Issues First)
379-5592,91,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False,0.6070117352448623,1,High,Premium Support + Service Upgrade,47.59,HIGH,Problem Solvers (Fix Issues First)
345-8237,127,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False,0.3574626228468579,1,Low,Standard Upgrade Package,20.55,LOW,Regular Prospects (Standard Campaign)
422-6690,113,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False,0.35740099486233196,1,Low,Standard Upgrade Package,20.86,LOW,Regular Prospects (Standard Campaign)
346-2359,110,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False,0.3580154116860958,1,Low,Standard Upgrade Package,22.06,LOW,Regular Prospects (Standard Campaign)
374-3534,120,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
381-4756,157,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False,0.6062556441064605,1,High,Premium Support + Service Upgrade,41.35,HIGH,Problem Solvers (Fix Issues First)
390-2805,103,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False,0.3595556637554972,1,Low,Standard Upgrade Package,25.83,LOW,Regular Prospects (Standard Campaign)
390-2390,117,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,0.7551232244578795,1,High,Emergency Retention Package,67.15,HIGH,At-Risk VIPs (Save Immediately)
419-9097,140,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False,0.6069028818669521,1,High,Premium Support + Service Upgrade,45.67,HIGH,Problem Solvers (Fix Issues First)
386-7281,127,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,0.35717018553565055,1,Low,Standard Upgrade Package,19.91,LOW,Regular Prospects (Standard Campaign)
380-3561,83,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False,0.3597270798017952,1,Low,Standard Upgrade Package,26.74,LOW,Regular Prospects (Standard Campaign)
390-8760,121,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,0.3577398590925459,1,Low,Standard Upgrade Package,21.38,LOW,Regular Prospects (Standard Campaign)
366-6730,145,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False,0.3604418919102084,1,Low,Standard Upgrade Package,26.95,LOW,Regular Prospects (Standard Campaign)
395-5285,113,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False,0.3582463589532628,1,Low,Standard Upgrade Package,22.65,LOW,Regular Prospects (Standard Campaign)
354-3436,117,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,0.35654552336196643,1,Low,Standard Upgrade Package,18.47,LOW,Regular Prospects (Standard Campaign)
336-7600,65,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,0.35705642357385453,1,Low,Standard Upgrade Package,20.81,LOW,Regular Prospects (Standard Campaign)
383-6293,56,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False,0.35863777128431956,1,Low,Standard Upgrade Package,24.64,LOW,Regular Prospects (Standard Campaign)
362-4596,96,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False,0.6081105493802095,1,High,Premium Support + Service Upgrade,53.33,HIGH,Problem Solvers (Fix Issues First)
401-3926,151,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
370-9116,83,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True,0.758142083646703,1,High,Emergency Retention Package,101.98,HIGH,At-Risk VIPs (Save Immediately)
328-6289,139,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
350-9994,6,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,0.3576040789234947,1,Low,Standard Upgrade Package,23.11,LOW,Regular Prospects (Standard Campaign)
351-4616,115,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False,0.35613264238873715,1,Low,Standard Upgrade Package,17.9,LOW,Regular Prospects (Standard Campaign)
360-5779,87,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
417-4885,141,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
406-4710,141,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False,0.607571928568808,1,High,Premium Support + Service Upgrade,48.53,HIGH,Problem Solvers (Fix Issues First)
409-8743,62,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,False,0.3544710068154805,1,Low,Standard Upgrade Package,15.09,LOW,Regular Prospects (Standard Campaign)
335-4584,146,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,False,0.3575606319633485,1,Low,Standard Upgrade Package,20.59,LOW,Regular Prospects (Standard Campaign)
361-9845,92,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,False,0.3598929768224376,1,Low,Standard Upgrade Package,26.73,LOW,Regular Prospects (Standard Campaign)
366-5699,185,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,False,0.358536658224373,1,Low,Standard Upgrade Package,21.85,LOW,Regular Prospects (Standard Campaign)
329-9364,148,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,False,0.3598671767937615,1,Low,Standard Upgrade Package,25.5,LOW,Regular Prospects (Standard Campaign)
390-7434,94,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,False,0.35653384167467483,1,Low,Standard Upgrade Package,19.31,LOW,Regular Prospects (Standard Campaign)
404-9680,32,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,0.7,1,Low,Starter Premium Features,36.2,MEDIUM,New Prospects (Gentle Approach)
338-9398,68,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1,False,0.35859668303484515,1,Low,Standard Upgrade Package,24.46,LOW,Regular Prospects (Standard Campaign)
394-2445,64,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,0.35666687987737206,1,Low,Standard Upgrade Package,20.07,LOW,Regular Prospects (Standard Campaign)
381-2709,25,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,0.1,0,Low,Basic Service Review,0.54,MINIMAL,Low Priority (Minimal Contact)
397-5060,65,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,0.355273303997618,1,Low,Standard Upgrade Package,16.88,LOW,Regular Prospects (Standard Campaign)
415-2393,179,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
377-1765,94,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2,False,0.3589811795037919,1,Low,Standard Upgrade Package,24.78,LOW,Regular Prospects (Standard Campaign)
409-2111,62,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,False,0.35629585619146525,1,Low,Standard Upgrade Package,19.18,LOW,Regular Prospects (Standard Campaign)
401-3170,127,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False,0.35895362213100424,1,Low,Standard Upgrade Package,23.95,LOW,Regular Prospects (Standard Campaign)
405-5681,116,0,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37,3,False,0.6065366752167873,1,High,Premium Support + Service Upgrade,44.04,HIGH,Problem Solvers (Fix Issues First)
411-4582,70,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0,3,False,0.6081590423344317,1,High,Premium Support + Service Upgrade,54.41,HIGH,Problem Solvers (Fix Issues First)
355-5009,94,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,False,0.6074668913548301,1,High,Premium Support + Service Upgrade,49.58,HIGH,Problem Solvers (Fix Issues First)
372-3750,126,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,True,0.7520370429103195,1,High,Emergency Retention Package,35.2,HIGH,At-Risk VIPs (Save Immediately)
405-2888,67,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,False,0.35583344407509526,1,Low,Standard Upgrade Package,18.03,LOW,Regular Prospects (Standard Campaign)
361-3337,19,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,False,0.3582455746029737,1,Low,Standard Upgrade Package,24.27,LOW,Regular Prospects (Standard Campaign)
350-1639,170,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3,False,0.6087772582488609,1,High,Premium Support + Service Upgrade,54.51,HIGH,Problem Solvers (Fix Issues First)
333-3221,73,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,False,0.35977515447612207,1,Low,Standard Upgrade Package,26.7,LOW,Regular Prospects (Standard Campaign)
422-1471,106,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,False,0.35507211656645304,1,Low,Standard Upgrade Package,15.8,LOW,Regular Prospects (Standard Campaign)
399-7865,93,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False,0.35960026988773086,1,Low,Standard Upgrade Package,26.34,LOW,Regular Prospects (Standard Campaign)
373-4819,164,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1,False,0.35693532121931215,1,Low,Standard Upgrade Package,18.78,LOW,Regular Prospects (Standard Campaign)
338-6981,51,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,False,0.35873893368307913,1,Low,Standard Upgrade Package,24.86,LOW,Regular Prospects (Standard Campaign)
418-4365,107,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
359-5461,130,0,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,9.5,2,2.57,1,False,0.3564869597001526,1,Low,Standard Upgrade Package,18.4,LOW,Regular Prospects (Standard Campaign)
375-3586,80,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,False,0.3582554586791637,1,Low,Standard Upgrade Package,23.25,LOW,Regular Prospects (Standard Campaign)
407-8376,94,0,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,13.4,2,3.62,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
408-6496,118,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,False,0.35968388016831676,1,Low,Standard Upgrade Package,26.06,LOW,Regular Prospects (Standard Campaign)
385-7688,117,23,198.1,86,33.68,177.0,86,15.05,180.5,92,8.12,6.8,6,1.84,1,False,0.35764793006720685,1,Low,Standard Upgrade Package,21.26,LOW,Regular Prospects (Standard Campaign)
332-6934,78,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,False,0.35683909891328763,1,Low,Standard Upgrade Package,19.97,LOW,Regular Prospects (Standard Campaign)
378-3625,208,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True,0.7581502315921783,1,High,Emergency Retention Package,94.65,HIGH,At-Risk VIPs (Save Immediately)
353-7292,131,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,True,0.7578161431733735,1,High,Emergency Retention Package,95.01,HIGH,At-Risk VIPs (Save Immediately)
399-6786,63,0,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51,0,False,0.3547606281662445,1,Low,Standard Upgrade Package,15.64,LOW,Regular Prospects (Standard Campaign)
358-3261,53,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,False,0.6059428811636697,1,High,Premium Support + Service Upgrade,42.9,HIGH,Problem Solvers (Fix Issues First)
377-9932,62,0,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02,2,False,0.35971213601274343,1,Low,Standard Upgrade Package,26.66,LOW,Regular Prospects (Standard Campaign)
397-4030,97,0,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,6.4,8,1.73,3,False,0.6071943880897569,1,High,Premium Support + Service Upgrade,48.23,HIGH,Problem Solvers (Fix Issues First)
367-1062,105,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,False,0.35625164638824125,1,Low,Standard Upgrade Package,18.24,LOW,Regular Prospects (Standard Campaign)
341-8467,157,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,False,0.3581608278957216,1,Low,Standard Upgrade Package,21.53,LOW,Regular Prospects (Standard Campaign)
339-9453,66,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,False,0.3554322589277035,1,Low,Standard Upgrade Package,17.15,LOW,Regular Prospects (Standard Campaign)
344-3388,122,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False,0.3579003178361352,1,Low,Standard Upgrade Package,21.89,LOW,Regular Prospects (Standard Campaign)
375-8013,38,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,False,0.606293829109477,1,High,Premium Support + Service Upgrade,45.6,HIGH,Problem Solvers (Fix Issues First)
408-4142,106,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,False,0.60711553166106,1,High,Premium Support + Service Upgrade,47.48,HIGH,Problem Solvers (Fix Issues First)
386-3671,99,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,False,0.6082068116655626,1,High,Premium Support + Service Upgrade,53.66,HIGH,Problem Solvers (Fix Issues First)
411-2284,99,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False,0.35866917047038527,1,Low,Standard Upgrade Package,23.95,LOW,Regular Prospects (Standard Campaign)
346-7795,144,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
333-5609,82,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,False,0.35681388075592757,1,Low,Standard Upgrade Package,20.05,LOW,Regular Prospects (Standard Campaign)
405-1842,86,31,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29,1,False,0.3563731514870165,1,Low,Standard Upgrade Package,18.91,LOW,Regular Prospects (Standard Campaign)
366-6345,70,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,True,0.7555842165415108,1,High,Emergency Retention Package,75.81,HIGH,At-Risk VIPs (Save Immediately)
337-9345,93,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,False,0.606266969474181,1,High,Premium Support + Service Upgrade,43.39,HIGH,Problem Solvers (Fix Issues First)
328-6770,93,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
380-7321,120,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,False,0.607072784903075,1,High,Premium Support + Service Upgrade,46.45,HIGH,Problem Solvers (Fix Issues First)
375-1476,136,0,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51,1,True,0.7570921819913272,1,High,Emergency Retention Package,87.31,HIGH,At-Risk VIPs (Save Immediately)
356-1567,106,0,223.0,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
422-6685,81,0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,False,0.6058952045886359,1,High,Premium Support + Service Upgrade,41.95,HIGH,Problem Solvers (Fix Issues First)
336-1090,127,22,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,False,0.3574824841669983,1,Low,Standard Upgrade Package,20.57,LOW,Regular Prospects (Standard Campaign)
343-2095,65,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,False,0.35710367848535185,1,Low,Standard Upgrade Package,20.75,LOW,Regular Prospects (Standard Campaign)
345-3934,35,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,False,0.3565730342179761,1,Low,Standard Upgrade Package,20.26,LOW,Regular Prospects (Standard Campaign)
338-8050,88,0,65.4,97,11.12,168.2,76,14.3,236.0,113,10.62,13.8,1,3.73,2,False,0.3542990796753586,1,Low,Standard Upgrade Package,14.19,LOW,Regular Prospects (Standard Campaign)
388-9568,65,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,False,0.3588961830373193,1,Low,Standard Upgrade Package,24.84,LOW,Regular Prospects (Standard Campaign)
402-6591,123,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,False,0.6077806145396466,1,High,Premium Support + Service Upgrade,50.38,HIGH,Problem Solvers (Fix Issues First)
403-6419,126,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,False,0.356814007498739,1,Low,Standard Upgrade Package,19.41,LOW,Regular Prospects (Standard Campaign)
386-9790,104,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,False,0.6086798381600141,1,High,Premium Support + Service Upgrade,56.56,HIGH,Problem Solvers (Fix Issues First)
378-5692,45,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,False,0.7,1,Low,Starter Premium Features,40.13,MEDIUM,New Prospects (Gentle Approach)
360-3324,93,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0,True,0.7569562483571558,1,High,Emergency Retention Package,88.57,HIGH,At-Risk VIPs (Save Immediately)
410-3719,63,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,False,0.359234313616698,1,Low,Standard Upgrade Package,25.7,LOW,Regular Prospects (Standard Campaign)
352-4221,100,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,False,0.6071133737367951,1,High,Premium Support + Service Upgrade,47.86,HIGH,Problem Solvers (Fix Issues First)
327-6179,53,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,False,0.35687280912852193,1,Low,Standard Upgrade Package,20.69,LOW,Regular Prospects (Standard Campaign)
359-6196,92,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43,1,False,0.35820888812876345,1,Low,Standard Upgrade Package,22.8,LOW,Regular Prospects (Standard Campaign)
374-9107,139,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True,0.7545346782498638,1,High,Emergency Retention Package,59.83,HIGH,At-Risk VIPs (Save Immediately)
357-4078,110,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43,2,False,0.3574102089840125,1,Low,Standard Upgrade Package,20.82,LOW,Regular Prospects (Standard Campaign)
366-5780,110,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,False,0.6038994454346632,1,High,Premium Support + Service Upgrade,29.97,HIGH,Problem Solvers (Fix Issues First)
393-9619,215,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
355-9295,73,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,False,0.3567488213068423,1,Low,Standard Upgrade Package,20.14,LOW,Regular Prospects (Standard Campaign)
400-5751,138,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
338-1027,137,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,True,0.7540035948502165,1,High,Emergency Retention Package,54.52,HIGH,At-Risk VIPs (Save Immediately)
405-8867,36,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,False,0.35947749119048084,1,Low,Standard Upgrade Package,26.75,LOW,Regular Prospects (Standard Campaign)
336-5616,85,0,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,False,0.6068859462687102,1,High,Premium Support + Service Upgrade,47.21,HIGH,Problem Solvers (Fix Issues First)
335-1697,108,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,True,0.7570136835642106,1,High,Emergency Retention Package,86.68,HIGH,At-Risk VIPs (Save Immediately)
331-5138,22,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,False,0.7,1,Low,Starter Premium Features,25.15,MEDIUM,New Prospects (Gentle Approach)
385-8240,107,37,60.0,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3.0,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
348-1359,51,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,False,0.35817285616947786,1,Low,Standard Upgrade Package,23.5,LOW,Regular Prospects (Standard Campaign)
354-7339,94,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False,0.6066887602008363,1,High,Premium Support + Service Upgrade,45.49,HIGH,Problem Solvers (Fix Issues First)
349-1687,119,23,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,False,0.35854083641210477,1,Low,Standard Upgrade Package,23.01,LOW,Regular Prospects (Standard Campaign)
380-2558,33,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,True,0.754035784185043,1,High,Emergency Retention Package,60.65,HIGH,At-Risk VIPs (Save Immediately)
365-2153,106,0,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,False,0.6068217972928777,1,High,Premium Support + Service Upgrade,46.12,HIGH,Problem Solvers (Fix Issues First)
345-6043,82,0,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,False,0.6070513249488632,1,High,Premium Support + Service Upgrade,48.17,HIGH,Problem Solvers (Fix Issues First)
349-2808,86,41,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
411-1715,97,0,143.7,117,24.43,273.0,82,23.21,178.3,81,8.02,10.9,3,2.94,0,False,0.05,0,High,Loyalty Appreciation Package,0.0,DO NOT CONTACT,Happy Loyalists (Preserve Relationship)
385-2488,106,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,False,0.6062386658048154,1,High,Premium Support + Service Upgrade,42.87,HIGH,Problem Solvers (Fix Issues First)
377-7177,108,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,False,0.3563848370737021,1,Low,Standard Upgrade Package,18.47,LOW,Regular Prospects (Standard Campaign)
342-1099,114,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,False,0.3559447521474824,1,Low,Standard Upgrade Package,17.35,LOW,Regular Prospects (Standard Campaign)
386-4170,92,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True,0.752776996336629,1,High,Emergency Retention Package,44.09,HIGH,At-Risk VIPs (Save Immediately)
413-1269,59,0,155.2,79,26.38,235.3,123,20.0,169.4,80,7.62,8.7,4,2.35,1,False,0.3567915250834726,1,Low,Standard Upgrade Package,20.33,LOW,Regular Prospects (Standard Campaign)
396-4460,24,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,False,0.35681817125956306,1,Low,Standard Upgrade Package,20.94,LOW,Regular Prospects (Standard Campaign)
334-2730,151,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,False,0.3563852130719993,1,Low,Standard Upgrade Package,17.75,LOW,Regular Prospects (Standard Campaign)
340-3182,117,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,False,0.3568526653856665,1,Low,Standard Upgrade Package,19.4,LOW,Regular Prospects (Standard Campaign)
377-8608,78,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,False,0.3578919570804666,1,Low,Standard Upgrade Package,22.35,LOW,Regular Prospects (Standard Campaign)
