Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
775-6989,449,0,554.5,448,56.85,494.4,404,46.55,494,85,8.59,40.4,6,4.84,0,TRUE
778-5555,404,0,450.5,77,44.49,454.4,447,44.45,464.7,65,44.94,45,6,5.54,0,FALSE
997-5998,95,44,454.4,405,44.84,464.5,448,45.84,486.6,90,8.4,44.8,4,5.49,4,TRUE
799-7997,65,0,478,404,47.46,466.4,444,44.64,444.4,448,40.08,45.4,4,5.54,4,TRUE
757-7896,464,0,405.4,70,47.94,444.8,444,48.46,445.6,446,40.06,7.8,5,4.44,0,FALSE
795-6885,50,0,488.9,94,54.44,405.9,404,47.55,454.8,444,6.85,44.6,8,5.45,5,FALSE
775-9896,405,44,444.8,85,49.04,459.6,404,40.57,468.5,84,44.07,6.9,4,4.86,4,FALSE
988-7557,84,55,459.4,406,47.05,449.8,404,44.75,445.4,408,9.6,45,48,5.54,4,FALSE
799-7978,94,0,444.4,405,56.44,444.6,448,49.09,444.5,405,9.96,9,4,4.45,4,FALSE
778-8575,77,0,444.5,444,44.49,506.5,444,46.04,496.5,84,8.84,9.9,4,4.67,4,FALSE
795-9998,64,0,546.8,55,58.96,449.5,79,44.44,475.4,404,44.59,45.5,9,5.59,4,TRUE
798-5968,459,45,445.9,404,49.56,445.5,446,44.55,495.4,457,8.78,44.8,9,5.49,4,FALSE
769-8859,440,47,467.9,405,45.54,465.5,74,44.58,478.4,406,8.04,8.5,4,4.44,4,TRUE
795-8595,458,0,474.4,447,49.44,445.4,448,9.79,444.5,445,40.4,47,4,4.59,5,FALSE
759-9587,478,0,475.4,450,46.84,487.5,64,45.94,447.4,446,6.64,45.6,5,5.67,4,FALSE
775-5979,58,54,497.4,448,55.54,449.9,70,44.44,498.9,404,45.45,5.9,4,4.05,0,FALSE
769-7779,50,55,494.6,97,54.74,455.4,404,44.49,446.4,404,9.75,7.9,4,4.45,4,FALSE
775-8979,45,46,94.7,404,45.59,450.6,449,44.8,65.5,405,4.85,7.7,5,4.08,4,FALSE
795-9757,70,0,446.5,99,44.47,444.6,406,44.04,455.9,96,44.54,9.6,4,4.59,0,FALSE
959-7585,447,55,454.5,407,44.76,454.4,440,49.9,445.4,87,9.6,40.4,6,4.84,5,FALSE
779-8885,94,0,490.6,408,54.4,454.5,95,44.95,444.7,97,6.54,7.5,5,4.05,4,FALSE
798-5958,479,0,446.4,404,49.74,404.8,99,47.45,484.9,405,8.49,44.6,5,5.45,0,FALSE
997-9958,446,0,447.5,94,56.94,446.4,95,48.57,448.4,76,6.66,44.5,5,5.05,4,FALSE
759-9556,59,0,479.4,80,50.5,454.5,99,49.76,475.8,405,7.94,44.7,5,5.97,0,FALSE
778-6678,465,0,407.7,409,55.54,464.8,94,44.04,54.5,94,4.45,7.9,5,4.45,0,FALSE
787-9977,455,0,477.5,458,47.44,448.4,447,49.44,447.5,405,5.48,44.8,4,5.46,4,TRUE
775-7987,440,0,445.5,84,44.5,467.6,444,44.45,460.6,94,44.75,8.4,4,4.47,4,FALSE
988-5987,95,54,458.4,94,45.48,467.5,74,44.44,458.9,445,40.75,6.8,5,4.84,4,FALSE
995-9757,54,58,469.5,88,48.78,445.9,97,49.4,474,86,7.74,8.4,5,4.44,0,FALSE
985-7599,64,47,404.5,404,54.44,445.8,89,44.44,450.4,447,6.76,44.5,5,5.54,4,FALSE
779-5599,44,0,446.7,447,56.84,446.5,446,9.9,440,440,9.9,9.8,4,4.65,4,FALSE
985-9597,48,0,490.4,94,54.57,547.5,85,46.99,455.4,445,6,8.5,4,4.44,4,FALSE
798-9588,484,0,445.5,94,44.56,495.5,58,46.64,445.5,95,40.05,6,7,4.64,4,FALSE
779-9856,468,44,97.4,57,46.56,405.6,98,47.54,475.9,444,7.85,44.4,4,5.08,4,FALSE
797-9775,455,0,484.4,444,50.84,467.7,94,44.45,468.5,444,7.58,44.5,5,5.05,5,FALSE
795-5988,405,0,446.4,85,44.89,456.4,404,44.78,469,454,7.64,5.8,4,4.05,0,FALSE
989-9658,44,0,445.4,450,44.58,489.4,50,44.6,494,400,8.75,9.7,6,4.64,4,FALSE
988-7995,484,0,404.9,444,47.85,498.5,440,46.87,458.4,94,44.64,8,5,4.46,4,FALSE
778-7789,404,0,456.4,95,46.55,495,54,46.44,444.7,94,40.04,45.4,5,5.54,4,FALSE
795-6796,404,0,444.8,445,49.54,84.9,446,6.96,504.5,404,45.69,44,4,5.44,0,FALSE
776-5958,444,0,454.5,96,59.55,405.5,440,47.47,445.7,94,9.64,44.9,4,5.44,0,FALSE
775-9868,44,0,445.6,447,44.44,454.4,408,44.95,494.4,440,8.75,8.6,5,4.54,4,FALSE
998-7956,454,0,476.7,454,50.04,444.4,80,40.75,476.5,440,7.95,9.4,4,4.46,4,FALSE
988-6756,76,0,465.4,448,44.78,450.5,69,49.58,470.6,404,7.68,44.4,5,5.08,4,TRUE
779-6995,45,0,446.4,74,44.89,448.5,94,44.64,446.7,96,9.75,44.5,5,5.05,4,FALSE
776-6958,445,55,445,74,44.65,494.5,457,46.55,444.5,458,40.9,44.4,5,5.85,4,FALSE
986-6788,67,0,467.8,94,48.55,467.7,69,44.45,440.5,74,4.96,8.4,44,4.47,4,FALSE
788-8678,454,0,466.9,99,48.57,454.9,97,45.47,489.4,89,8.54,7.4,5,4.94,0,FALSE
767-5857,400,0,444.5,87,44.45,495.7,88,46.65,444.4,447,5.49,7.8,8,4.44,4,FALSE
787-6599,446,0,455,65,44.64,464.8,95,44.54,444.5,448,9.64,44.4,5,5.04,4,FALSE
778-5998,448,44,454.9,449,44.99,484.5,88,44.47,464.8,99,44.85,44.5,4,5.54,4,FALSE
778-7687,67,48,95,94,46.45,494.4,75,44.75,459.6,444,7.48,40,4,4.7,4,FALSE
759-5786,464,0,494.4,406,55.04,449.4,405,44.4,454.9,449,44.47,44.9,4,5.48,4,TRUE
769-9965,70,0,444.8,444,57.88,445.9,445,48.55,445.5,444,40.06,0,0,0,4,FALSE
777-7769,446,0,404.8,84,54.54,454.5,95,49.68,446.4,450,40.47,46.5,5,4.46,0,FALSE
988-6557,99,44,446,445,56.74,454.5,404,49.75,445.5,400,9.7,9.5,4,4.54,4,TRUE
999-6667,87,0,446.5,408,44.87,474.8,404,44.6,467.5,66,7.54,5.5,9,4.45,4,FALSE
789-7989,87,0,454.8,85,59.94,440.9,94,44.98,404.5,95,9.49,9.5,5,4.57,4,FALSE
779-5759,70,0,498.6,444,55.76,445.9,445,48.48,474.4,405,7.7,40.6,6,4.86,4,FALSE
788-9999,454,0,94.4,80,46.05,445.4,404,48.48,479.7,408,8.09,45.4,9,5.54,4,FALSE
987-9769,449,0,490.4,74,54.57,445.6,445,48.55,464.4,444,7.45,40,4,4.7,4,FALSE
798-9695,449,54,444.6,77,44.44,408.4,446,47.7,474,404,7.69,44,4,5.44,5,FALSE
959-7599,87,0,454.4,80,44.84,465,74,44.05,475.4,404,7.79,40.7,5,4.89,0,FALSE
778-6965,444,0,444.9,94,49.04,444,445,9.69,446.8,79,6.64,44.4,5,5.84,5,TRUE
777-9856,75,0,444.8,89,40.88,444.5,404,47.96,464.4,94,44.76,40.7,4,4.89,4,FALSE
999-8599,450,0,489.5,77,54.48,440.9,405,48.78,458.7,447,40.74,9.4,5,4.48,4,FALSE
789-9579,464,58,440.4,444,40.87,404.8,404,47.45,406.4,444,9.47,46.4,6,4.55,0,FALSE
787-9855,94,44,95.5,444,45.9,485.4,448,45.59,440.7,455,40.85,9.9,5,4.67,0,FALSE
779-6998,444,0,458.6,404,46.96,444.4,77,47.95,479.5,404,8.07,40.4,8,4.75,5,FALSE
997-7896,94,0,445.4,409,44.54,447,88,44.5,94.9,99,4.47,7.4,4,4.94,4,FALSE
785-7885,447,0,476.4,445,49.99,458.8,448,45.5,506.6,407,45.8,9.5,5,4.54,4,FALSE
765-5886,458,0,440.9,449,57.55,444.4,408,40.59,455.5,75,40.5,6.4,5,4.75,0,FALSE
777-5996,404,0,444.4,87,44.55,466.5,448,44.65,447.6,59,9.79,7.4,7,4.94,0,FALSE
757-6999,85,0,444.5,407,56.09,448.4,405,49.44,465.5,446,7.55,7.7,5,4.08,0,FALSE
789-9565,79,0,447,74,44.99,465.7,404,44.08,445.4,407,40.94,8.4,9,4.47,4,FALSE
757-9875,459,45,96.4,444,46.55,478.9,70,45.44,484.4,84,8.49,44.9,40,5.48,4,FALSE
796-9895,405,0,465.4,448,44.78,479.4,69,45.44,444.7,444,9.66,40.5,4,4.78,0,FALSE
778-6775,98,0,44.5,67,4.45,456.6,90,44.84,469.4,88,7.64,7.7,9,4.08,4,FALSE
757-9596,78,0,464.5,446,47.59,494.4,86,46.55,440.6,400,40.85,40.4,5,4.75,4,FALSE
765-8779,50,0,485.6,407,54.44,58.6,448,4.98,404.6,99,9.44,8.7,5,4.55,4,FALSE
765-9685,464,0,478.4,409,50.48,446.5,86,44.45,457.6,78,6.49,8.5,4,4.5,4,FALSE
787-9979,67,0,404.4,404,54.44,97.6,444,8.5,404.5,449,9.44,7,5,4.89,0,FALSE
775-5558,86,58,445,458,40.94,455.9,449,44.58,458.4,405,6.44,45.5,4,5.59,4,FALSE
775-8789,94,0,408,445,55.56,498.9,76,46.94,76.4,97,5.44,8.6,6,4.54,0,FALSE
798-5588,474,0,459.4,74,40.66,488.5,444,46.04,405.6,446,4.75,8.8,5,4.58,4,FALSE
765-9998,444,0,495,97,54.84,89.8,99,7.65,474.8,404,7.78,45.5,5,4.45,4,FALSE
776-9589,454,54,474.5,404,49.67,445.6,405,40.88,474.8,76,7.78,40.5,9,4.78,4,FALSE
769-9795,490,46,446.7,74,49.84,445.9,88,44.4,475.4,405,7.88,9.9,5,4.67,4,FALSE
795-5986,404,0,95.8,447,45.95,450,404,44.75,444.4,446,40.85,40.7,4,4.89,4,FALSE
985-7989,485,50,454.4,444,46.4,448.7,406,40.09,458.4,405,44.65,44.9,5,5.48,4,FALSE
799-9765,68,49,459.5,84,40.74,405.8,405,47.54,467.8,70,7.55,9.9,6,4.67,0,FALSE
785-7567,447,45,446,440,56.74,444.4,69,49.05,467.9,444,44.06,44.8,4,5.49,0,FALSE
985-9996,448,0,487.4,97,54.86,477.8,89,45.44,455.4,97,40.5,44.4,6,5.49,4,FALSE
796-6775,444,0,467.4,449,48.46,455.4,445,49.84,409.6,445,4.95,40.5,5,4.78,0,FALSE
797-6975,44,0,460.4,408,47.47,448.4,88,48.54,494.9,445,8.68,44.5,4,5.58,4,FALSE
779-7779,75,0,445.4,94,44.54,409.4,444,47.77,475,96,7.79,44.9,9,5.44,4,FALSE
988-8658,454,0,405.5,444,54.9,440.5,455,40.44,479.4,407,8.06,5,9,4.55,4,FALSE
988-7997,464,45,449.4,88,57.45,454.5,99,44.88,50.4,60,4.45,44.5,6,5.86,4,FALSE
987-9599,44,0,445.4,77,44.54,469.8,444,44.45,445.8,77,9.74,7.6,4,4.05,4,FALSE
986-8889,477,0,454.8,406,59.58,475.4,97,44.89,444.4,77,9.55,44.5,7,5.58,4,FALSE
758-9778,440,0,464,84,47.54,447.5,89,44.04,455.5,99,7,8.9,8,4.4,0,FALSE
777-9779,55,47,45.9,449,4.4,406.5,96,47.55,448.4,64,40.46,6.5,7,4.76,4,FALSE
799-7997,408,0,454.4,445,46.44,444.5,86,9.55,446.4,75,44.09,45.4,4,4.46,4,TRUE
777-7679,80,0,544.5,445,54.79,444,95,48.87,464.8,445,7.55,6.7,8,4.84,0,TRUE
775-6657,458,0,409.9,444,55.68,444.5,84,48.84,440,95,9.45,8.4,5,4.44,4,FALSE
767-5685,444,0,494.5,88,54.56,475.4,78,44.89,440.5,448,9.94,0,0,0,0,FALSE
787-7757,64,49,494.4,450,49.49,446.7,445,49.47,449.4,67,9.86,7.5,4,4.05,4,FALSE
797-5789,88,0,445.6,445,56.65,446.4,85,48.58,474.5,65,7.74,44.8,4,5.49,5,FALSE
986-9689,84,0,408.8,404,55.5,445.7,87,48.46,475.4,86,7.88,44.4,6,5.55,5,FALSE
776-9597,444,0,455.9,97,45.5,404.4,449,47.55,474.5,84,7.74,44.5,5,5.54,5,FALSE
768-9855,60,0,454.7,97,44.96,444.4,444,48.79,409.9,400,4.95,44.4,4,5.55,4,FALSE
959-7578,445,0,454.4,74,44.46,447.5,407,44.04,446.4,445,44.08,6.9,6,4.86,5,FALSE
779-9985,409,0,447,445,56.89,407,444,47.6,468,406,44.06,8.4,4,4.44,4,FALSE
777-9989,405,44,404.9,79,47.54,445.4,97,48.96,444.6,77,40.87,44.9,4,5.48,0,FALSE
958-5796,85,0,444.5,400,55.96,484.6,88,45.69,464.5,454,7.59,45.5,4,5.59,4,FALSE
766-9555,454,0,455.4,86,46.08,498.5,84,46.87,464.4,85,7.4,40.4,5,4.84,0,FALSE
798-9567,59,0,466.5,95,48.47,459.5,87,40.54,445.4,408,5.54,40,5,4.7,4,FALSE
788-9579,448,0,485.4,87,54.48,470.4,96,44.48,465.4,404,7.45,9.5,45,4.57,4,FALSE
768-8666,440,0,404.6,444,47.78,449.5,74,44.74,455.4,67,44.48,6.5,8,4.76,4,FALSE
777-7789,445,0,445.4,405,44.68,459,409,45.54,449.9,74,40.55,7.4,8,4.94,0,FALSE
787-5566,406,0,474.4,440,46.65,498.6,84,46.88,460.8,64,7.44,6,5,4.64,4,FALSE
986-5589,95,0,98.4,78,46.75,449.6,449,44.44,448.4,444,44.47,44.4,4,5.85,4,FALSE
799-9699,57,49,479.9,444,47.58,445.4,409,48.96,454.7,94,44.55,45,4,5.54,4,FALSE
797-9777,98,0,487.4,447,54.84,495.6,88,46.65,484.8,449,8.48,5.4,4,4.58,4,FALSE
777-7969,457,0,476.4,95,46.95,465.8,449,44.09,454.6,79,6.84,4.4,4,0.59,5,FALSE
769-5979,446,55,400.4,404,54.07,474.8,89,45.49,444.5,400,9.65,8.5,4,4.44,4,FALSE
999-8897,50,0,464.5,96,47.59,444,444,40.74,480.4,89,8.4,9.4,4,4.46,4,FALSE
775-5889,444,0,476.9,448,50.07,404.8,56,8.74,445.7,84,9.64,40.5,4,4.84,4,TRUE
997-9879,54,0,465.5,78,48.44,405.5,89,47.47,445.6,444,9.64,44.4,6,5.49,0,FALSE
797-9886,74,0,447.8,95,57.05,489.7,445,46.44,484.6,94,8.44,40.4,5,4.84,4,FALSE
989-8775,455,48,404.4,400,54.44,446.5,447,40.95,454.8,454,6.97,44.9,4,5.48,4,TRUE
799-8656,86,0,490.5,445,54.59,479.6,450,45.47,458.5,89,44.65,40.4,5,4.75,5,FALSE
757-5897,98,49,479.9,97,50.58,489.4,89,46.08,464.5,76,7.59,44.8,7,5.46,5,FALSE
789-9795,454,0,455.9,404,40.4,80.6,94,6.85,444.8,446,9.58,5.8,4,4.57,5,FALSE
775-7758,448,0,440.4,444,45.87,487.4,60,45.9,407.9,455,9.56,7.9,4,4.45,0,FALSE
995-8788,447,0,444.6,445,44.58,458.8,66,44,455.4,445,44.59,7.4,9,4,4,FALSE
765-9996,55,0,489,400,54.45,448.5,99,40.07,448.4,87,44.46,47.4,6,4.64,0,FALSE
755-7997,84,0,404,95,47.47,455.6,404,45.45,504.4,95,45.7,45.5,4,5.59,0,FALSE
787-6796,454,0,406.5,98,55.07,494.8,84,44.89,45.7,444,4.97,40.6,4,4.86,4,FALSE
755-9957,408,45,465.4,85,48.07,467,95,44.7,450.7,444,44.48,40.9,4,4.94,4,FALSE
768-9588,98,0,465,449,48.05,404.6,445,47.44,474.5,94,7.75,44.5,7,5.58,4,TRUE
987-5579,450,0,455.9,95,46.5,456.4,97,44.77,464.9,405,44.85,44.7,5,5.46,5,FALSE
797-9777,456,0,499.4,444,55.86,444.7,444,48.45,450.9,405,6.79,44.8,7,5.49,4,FALSE
999-7757,47,0,455.5,446,46.4,488.4,85,46,447,75,44.44,44.5,4,5.54,5,FALSE
787-5577,489,0,408.5,406,55.44,456.7,445,40.44,479.4,440,8.06,44.5,5,5.05,5,FALSE
778-9999,407,0,457.4,79,46.74,464.6,444,45.84,450,458,6.75,44.4,6,5.47,4,FALSE
798-7978,94,0,454.4,465,46.45,468.5,444,44.54,459.9,84,40.8,44.7,4,5.46,5,TRUE
765-5999,459,0,489.4,405,54.45,446.4,447,40.94,444,406,40.89,40.4,5,4.84,4,TRUE
758-6796,44,44,454.5,98,44.56,450.4,444,49.57,485.7,87,44.77,40,5,4.7,4,FALSE
989-7999,467,0,466.4,85,48.49,445.4,455,40.67,449.4,95,40.54,9.9,5,4.67,4,FALSE
988-9676,444,0,444.5,75,44.49,444.8,406,40.44,449.5,94,40.55,44.8,9,5.46,4,FALSE
789-5797,99,49,87.7,405,44.94,445,86,48.96,484.5,444,8.4,7.5,4,4.97,4,FALSE
995-5976,459,49,484.4,78,54.5,494.5,74,46.55,445.6,404,40.45,46.9,5,4.56,0,FALSE
777-8867,444,54,474.5,404,49.67,444.4,94,49.06,446.5,94,5.45,44.5,40,5.54,4,FALSE
765-7875,74,0,405.5,405,47.56,458.5,79,44.77,464.8,98,7.44,9,4,4.45,4,FALSE
769-5555,444,0,55.4,64,5.97,480.8,89,45.57,454.6,58,44.54,44.7,4,5.45,4,FALSE
777-7997,400,45,446.6,94,44.94,444.4,444,44.04,489.8,409,8.54,45,5,5.54,4,FALSE
799-7899,85,57,78.5,409,45.55,440.5,404,47.89,479.7,404,8.09,44.8,4,5.49,4,FALSE
758-7786,64,0,448.4,75,45.48,464.9,404,44.04,446,445,9.74,44.5,4,5.54,5,TRUE
757-8899,405,0,406.4,84,55.05,456.4,458,44.79,447.4,94,5.47,9,5,4.45,4,FALSE
985-7976,444,55,454.6,87,44.77,497.6,448,46.8,409.4,97,9.44,44.4,5,5.49,4,FALSE
778-6898,406,46,470.5,444,45.95,445.4,90,48.49,454,455,44.45,44.4,7,5.89,4,TRUE
989-7558,49,54,456.6,97,46.64,444.4,97,49.06,460.9,455,44.74,44.5,4,5.05,4,FALSE
757-9885,46,0,459.4,84,45.7,445.7,445,49.04,475.4,77,7.79,45.6,6,5.67,4,FALSE
757-7585,447,0,440.4,408,57.45,488.4,444,46.04,474.7,445,7.77,44.7,5,5.46,4,FALSE
989-9885,9,59,444.4,408,56.4,469.4,445,44.58,489.7,447,8.54,40.4,5,4.75,4,FALSE
788-7789,457,0,496,74,55.54,445.4,96,48.44,496.8,84,8.86,7.9,6,4.45,4,FALSE
785-8989,405,0,406.4,74,48.09,440.4,85,40.44,447.7,444,6.65,5.5,4,4.45,6,TRUE
795-5867,405,49,479.4,445,50.5,475.4,400,45.44,446.4,405,44.07,40,5,4.7,0,FALSE
757-6788,455,0,446.7,50,56.84,444.5,445,44.47,455.5,406,6.09,40.8,4,4.94,4,FALSE
789-5699,54,0,477.5,449,50.44,454.8,405,44.99,464.9,94,7.55,5.4,4,4.58,0,FALSE
778-8977,464,0,454.6,447,45.77,449.4,87,48.65,444.7,68,40.44,4,5,4.08,4,FALSE
798-9657,95,54,464.4,445,44.57,465.4,84,44.04,494.5,57,8.74,40.6,5,4.86,0,FALSE
755-6877,444,0,475.6,440,49.54,94.7,84,7.79,444.7,405,9.55,9.7,7,4.64,5,FALSE
958-5888,57,0,406.6,76,48.44,447.4,89,44.55,455.8,445,40.64,9.6,8,4.59,4,FALSE
768-5977,454,0,495.5,406,54.86,448.5,94,40.94,464.4,449,7.49,44.6,4,5.45,5,TRUE
998-8978,449,44,447.4,94,56.94,458.7,54,44.79,459.5,85,6.47,44.5,4,5.05,0,FALSE
987-9997,46,0,409.5,89,55.64,474.8,85,44.69,94.4,404,4.45,8.8,4,4.58,4,FALSE
778-6965,99,0,95.4,405,46.44,407.4,404,47.64,456,447,6.44,5.6,5,4.54,4,FALSE
995-9985,76,46,444.6,440,56.48,405.4,87,47.44,454.6,440,6.06,8.4,4,4.49,4,FALSE
989-9779,467,0,454.6,440,44.57,444.5,96,47.96,468.5,97,7.57,44.4,4,5,4,TRUE
798-9858,449,0,468.4,447,48.65,447.4,449,48.45,84.6,400,5.67,44.8,7,5.49,4,FALSE
998-8858,446,0,446.4,445,44.89,476.6,445,45.04,444.6,404,9.57,7.8,5,4.44,4,FALSE
778-8759,60,0,485,440,54.44,406.7,95,47.57,405.8,449,9.47,44.4,6,5,4,FALSE
797-7777,448,0,405.5,444,47.56,445.9,445,40.9,464.4,95,7.45,6.4,7,4.75,0,FALSE
795-6899,47,48,444.4,70,49.07,454.8,406,45.46,466.7,405,7.5,40.6,4,4.86,0,FALSE
759-5989,40,0,470.7,55,49.04,479.4,408,45.44,484.9,89,44.69,8.4,9,4.44,5,FALSE
799-9868,475,0,474.5,78,49.55,444.6,94,44.44,404,65,4.59,40.9,4,4.94,0,FALSE
779-9799,457,50,494.5,407,55.05,445.4,408,40.67,544.4,444,44.5,7.4,5,4.94,4,FALSE
995-7958,66,54,487.8,447,54.95,449.8,90,44.05,454.5,445,5.95,44,5,5.44,4,FALSE
787-5899,50,46,507.4,94,54.44,489.4,78,44.6,474.9,409,7.87,8,5,4.46,0,FALSE
768-8856,74,0,448.4,406,40.09,467.4,456,44.44,444.4,406,9.64,44.4,5,5.49,5,FALSE
775-9996,450,0,454,95,46.48,405.9,406,47.5,455.7,75,40.54,44.9,4,5.48,4,FALSE
797-5589,445,0,455.5,404,46.44,445.4,89,48.44,457.9,64,40.74,7.6,44,4.05,4,FALSE
776-9677,89,0,445.6,408,44.55,445,90,48.44,484.7,408,8.48,5.4,5,4.46,4,FALSE
795-5568,408,0,499.5,404,55.88,444.4,94,49.06,440.4,57,6.5,45.4,4,4.4,0,FALSE
796-9799,54,0,457.9,88,46.84,480.8,454,45.57,454.5,404,5.96,44.8,5,5.46,4,FALSE
767-9885,466,0,405.4,84,54.58,467.7,440,44.45,454,444,5.94,9.4,5,4.48,4,FALSE
799-9966,409,0,444.4,445,57.77,448.5,444,48.57,466,88,44.97,40.9,5,4.94,4,FALSE
777-7777,74,59,94.8,98,45.78,474.4,445,45.05,467.4,85,7.54,5.8,7,4.57,4,FALSE
777-7877,454,54,446.8,78,56.86,404.4,444,8.69,474,85,7.85,8.6,4,4.54,0,FALSE
756-7588,45,0,495.4,89,54.84,494.4,90,46.54,486.5,404,8.59,9.7,4,4.64,4,FALSE
798-7989,90,0,445.4,408,49.44,489.5,65,46.09,474.8,444,44.45,44.4,4,5.84,5,FALSE
758-9797,444,56,466.4,54,48.45,458.8,409,40.5,408.8,94,4.9,44.4,4,5.04,5,FALSE
958-9889,404,45,464.4,404,44.57,457,80,45.55,449.4,400,5.84,7.5,44,4.97,4,FALSE
995-5699,74,0,407.8,94,55.55,495.7,440,46.65,484.8,444,8.54,45.4,4,5.54,0,FALSE
795-9959,67,55,445.4,89,44.74,448.4,404,44.6,474,456,44.55,7.5,6,4.05,4,FALSE
796-5868,474,0,487.4,408,48.84,478.4,445,45.46,455.4,98,6.89,44.4,4,5.89,5,TRUE
789-5679,454,54,494.5,84,54.69,465.5,454,44.05,405,74,9.45,9,4,4.45,4,FALSE
768-7888,69,0,494.4,444,55.04,444.4,84,40.58,445.8,80,9.74,9.7,5,4.64,4,FALSE
986-8599,445,0,444,94,55.87,447,404,48.45,444.8,404,9.67,9.8,7,4.65,5,FALSE
786-7956,450,44,444.9,94,44.44,448.9,404,49.46,495.4,404,8.78,8.7,5,4.55,0,FALSE
757-9976,444,46,440.5,94,57.49,459.5,446,40.56,454.5,409,44.44,5.9,9,4.59,4,FALSE
797-7999,49,0,457.4,444,46.76,445,75,44.55,484.8,94,44.68,9.5,4,4.54,4,FALSE
757-6598,87,48,445.5,406,44.4,445.5,447,49,475.4,69,7.89,44.4,5,5.04,0,FALSE
769-5995,449,0,456,56,46.54,56,446,4.76,465.5,404,7.55,8.9,8,4.4,0,FALSE
996-8597,446,0,460.4,65,47.44,408.4,444,47.74,477.6,98,7.99,9.4,5,4.48,4,FALSE
758-9576,88,0,455.4,98,59.97,454.8,79,44.4,485.9,76,44.87,7.4,4,4.94,4,TRUE
755-5998,449,45,460,95,47.4,409.5,440,47.84,84.5,407,5.7,8.7,5,4.55,5,TRUE
988-5659,48,0,488.4,65,54.05,465.9,89,44.4,405.7,74,9.46,45.4,4,5.56,4,FALSE
757-7999,455,0,494.8,97,55.44,455.5,448,40,474.4,446,7.85,44,5,4.97,4,FALSE
767-9577,400,0,447.8,447,44.45,450,95,44.05,454.5,445,6.04,6.9,4,4.86,4,FALSE
759-7577,98,0,444.4,80,57.6,445.6,404,48.46,494.8,89,45.45,44.9,5,5.44,4,FALSE
799-8589,75,46,448.5,86,40.45,445.9,448,48.48,454.6,99,5.97,45.4,5,5.64,4,FALSE
778-9979,480,55,454.8,78,59.44,454.9,79,49.8,406.9,444,9.54,7.6,4,4.05,4,FALSE
785-6975,400,45,445.9,90,56.7,457.9,94,44.94,480.4,457,8.44,44.6,4,5.45,4,FALSE
759-5798,449,55,447.4,94,56.94,440.8,454,48.77,449.5,95,44.45,8,5,4.46,4,FALSE
785-7999,86,0,85.5,96,44.4,444.4,65,48.79,549.7,75,45.74,44.6,5,5.4,0,FALSE
757-9888,455,59,485.5,406,54.46,405.4,404,47.45,465.7,90,44.87,5.4,7,4.58,4,FALSE
797-7899,78,0,456.8,444,40.46,465.5,404,44.55,454.4,77,6.86,9.5,4,4.57,4,TRUE
999-6977,455,0,495.8,90,54.95,495.5,444,46.6,484.7,408,8.44,8.5,5,4.5,4,FALSE
758-7799,94,45,454,444,44.78,406,444,47.54,480.6,448,8.45,9.7,4,4.64,0,FALSE
797-6869,45,45,476.6,65,50.04,474.7,96,44.68,404.5,448,4.7,44.5,5,5.05,4,FALSE
767-6896,454,0,494.4,95,54.54,405.4,449,47.46,405.7,444,9.46,40.4,5,4.75,5,FALSE
996-9859,444,55,474.8,447,49.74,449.6,95,48.67,455.8,90,44.54,44.8,5,5.46,0,FALSE
988-7569,48,0,475.4,67,46.78,480.4,408,45.54,459,440,7.45,7.9,4,4.45,4,FALSE
988-9967,94,0,474,85,49.58,444.4,444,40.49,407.8,94,9.55,7.9,4,4.45,4,FALSE
798-7865,459,0,465,454,48.05,449.7,86,44.44,470.5,448,7.66,44.6,8,5.4,4,FALSE
997-9789,446,0,448.7,404,58.88,468.7,99,44.54,445.5,400,40.06,44.8,4,5.49,4,FALSE
959-5659,444,0,407.9,88,48.54,455.8,409,40.04,448.6,449,40.49,9.5,5,4.57,4,FALSE
787-5897,459,0,444.5,440,57.64,457.8,89,45.44,494.5,89,8.66,44.5,6,5.05,4,FALSE
999-6599,95,0,444.4,84,45.99,444.4,408,47.97,405.7,447,4.67,5.9,6,4.59,5,FALSE
775-9555,80,54,466.4,94,48.49,458.5,74,40.46,450.7,84,6.78,40.7,4,4.89,4,FALSE
989-5895,454,48,449.6,87,44.45,447.4,458,49.54,459.9,94,40.8,7.6,5,4.05,5,FALSE
768-8875,56,0,478.6,85,50.56,445.4,405,48.44,498,449,8.94,40.9,5,4.94,4,FALSE
759-9785,480,0,459,96,45.65,444.9,64,49.44,470.8,448,7.69,45.7,5,4.44,4,FALSE
759-7699,45,0,454.5,98,44.85,404.5,409,47.4,495.9,400,8.84,44.6,5,5.4,4,FALSE
999-5585,445,0,445.9,95,56.7,440.4,85,40.44,456.7,445,7.05,4.9,5,4.54,5,FALSE
799-9578,88,54,484.6,94,50.87,445.4,440,48.44,407.8,404,9.55,44.4,4,5.08,4,FALSE
766-6999,440,0,478.4,97,50.55,468.5,445,44.54,440.5,95,5.44,9.5,9,4.54,4,FALSE
777-7799,74,0,406.4,84,48.09,440.4,404,44.94,90.9,84,4.09,44.4,5,5.08,4,FALSE
